weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,bull_rebal,bear_rebal,passed
Insider_Heavy,Adaptive,-0.1,0.5,1.076,14.79,32.44,0.431,9.56,45.7,35,18,8,True
Insider_Heavy,Adaptive,-0.15,0.3,0.755,16.04,21.15,-0.11,5.41,60.0,35,18,8,True
Insider_Heavy,Adaptive,-0.15,0.5,0.883,16.04,25.97,0.127,8.91,60.0,35,18,8,True
Insider_Heavy,Adaptive,-0.25,0.3,0.762,17.06,21.91,0.213,5.41,62.9,35,18,8,True
Insider_Heavy,Adaptive,-0.25,0.5,0.887,17.06,26.76,0.46,8.91,62.9,35,18,8,True
Valuation,Fixed_30d,-0.1,0.3,1.787,15.51,80.58,-0.67,10.09,37.5,40,17,9,False
Valuation,Fixed_30d,-0.1,0.5,1.852,15.51,86.05,-0.581,14.45,37.5,40,17,9,False
Valuation,Fixed_30d,-0.15,0.3,1.88,15.12,94.9,-0.358,7.44,45.0,40,17,9,True
Valuation,Fixed_30d,-0.15,0.5,1.941,15.12,100.83,-0.258,10.17,45.0,40,17,9,True
Valuation,Fixed_30d,-0.25,0.3,1.835,15.78,93.9,-0.565,7.86,47.5,40,17,9,True
Valuation,Fixed_30d,-0.25,0.5,1.897,15.78,99.88,-0.475,10.87,47.5,40,17,9,True
Valuation,Fixed_60d,-0.1,0.3,1.449,12.45,56.19,-0.905,10.27,35.0,20,9,5,False
Valuation,Fixed_60d,-0.1,0.5,1.456,12.45,57.68,-0.831,14.85,35.0,20,9,5,False
Valuation,Fixed_60d,-0.15,0.3,1.678,13.23,76.86,-0.45,8.1,50.0,20,9,5,True
Valuation,Fixed_60d,-0.15,0.5,1.676,13.23,78.13,-0.349,11.37,50.0,20,9,5,True
Valuation,Fixed_60d,-0.25,0.3,1.8,14.11,88.96,-0.804,9.64,50.0,20,9,5,True
Valuation,Fixed_60d,-0.25,0.5,1.814,14.11,91.43,-0.716,13.87,50.0,20,9,5,True
Valuation,Signal_5d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
